Name,Lat,Lon
Aksel Møllers Have,55.6860698,12.5328685
Frederiksberg,55.6807410,12.5323488
Frederiksberg Allé,55.6734871,12.5405342
Enghave Plads,55.6671785,12.5468059
København H,55.6713493,12.5639281
Rådhuspladsen,55.6764091,12.5682655
Gammel Strand,55.6775465,12.5789528
Kongens Nytorv,55.6799636,12.5857681
Marmorkirken,55.6851171,12.5890621
Østerport,55.6929185,12.5859929
Trianglen,55.6992520,12.5756404
Poul Henningsens Plads,55.7095176,12.5761722
Vibenhus Runddel,55.7064400,12.5647465
Skjolds Plads,55.7035331,12.5487094
Nørrebro,55.7000546,12.5378865
Nørrebros Runddel,55.6935248,12.5488500
Nuuks Plads,55.6885040,12.5424574
Aksel Møllers Have,55.6860698,12.5328685
